Feijenoord;;;;;;;


Diefstal;;;;;;;
;;buurtprobleem fietsendiefstal;;;;;
;;Hillesluis;6;6;5;5;3;0,5;0,6;0,5;0,5;0,3
;;Katendrecht;2;2;1;3;1;0,5;0,5;0,3;0,8;0,2
;;Afrikaanderwijk;9;10;3;2;4;1;1,1;0,3;0,2;0,4
;;Feijenoord;7;1;3;1;2;0,9;0,1;0,4;0,1;0,3
;;Noordereiland;0;0;0;1;0;0;0;0;0,3;0
;;Feijenoord;48;46;25;34;26;0,7;0,7;0,4;0,5;0,4
;;Rotterdam;474;433;376;352;236;0,8;0,7;0,6;0,6;0,4

;;1.4.3 aangiften openlijke geweldpleging tegen personen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;0;6;2;12;9;0;0,8;0,3;1,6;1,2
;;Vreewijk;12;18;22;17;19;0,9;1,3;1,6;1,3;1,4
;;Bloemhof;11;25;9;17;5;0,8;1,9;0,7;1,3;0,4
;;Hillesluis;14;20;11;22;19;1,2;1,8;1;2,1;1,7
;;Katendrecht;1;3;1;0;1;0,3;0,8;0,3;0;0,2
;;Afrikaanderwijk;10;30;19;12;16;1,1;3,2;2;1,3;1,8
;;Feijenoord;7;5;4;4;4;0,9;0,7;0,5;0,6;0,5
;;Noordereiland;1;1;2;2;1;0,3;0,3;0,6;0,6;0,3
;;Feijenoord;56;108;70;86;74;0,8;1,6;1;1,3;1,1
;;Rotterdam;637;700;621;620;508;1,1;1,2;1,1;1,1;0,9

;;1.4.6 aangiften straatroof;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;7;17;29;24;22;0,9;2,3;3,8;3,2;2,8
;;Vreewijk;47;41;56;35;36;3,3;3;4,1;2,6;2,7
;;Bloemhof;31;17;25;20;25;2,3;1,3;1,9;1,5;1,8
;;Hillesluis;38;25;18;24;15;3,3;2,3;1,7;2,3;1,3
;;Katendrecht;19;13;10;5;5;4,9;3,5;2,7;1,4;1,2
;;Afrikaanderwijk;30;45;35;28;19;3,2;4,8;3,8;3,1;2,1
;;Feijenoord;7;10;6;0;11;0,9;1,3;0,8;0;1,5
;;Noordereiland;0;0;0;1;1;0;0;0;0,3;0,3
;;Feijenoord;179;168;179;137;134;2,5;2,4;2,6;2;1,9
;;Rotterdam;1484;1262;1161;992;1018;2,5;2,2;2;1,7;1,7

;;1.4.7 aangiften overval;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;1;5;3;4;8;0,1;0,7;0,4;0,5;1
;;Vreewijk;7;3;12;7;11;0,5;0,2;0,9;0,5;0,8
;;Bloemhof;7;6;3;3;6;0,5;0,5;0,2;0,2;0,4
